date,verdict,orig_provisional,orig_dual_block,orig_end_outstanding,new_provisional,new_dual_block,new_end_outstanding,diff_lakhs
2017-08-16,SAME,False,False,95099.08,False,False,95099.08,0.0
2017-08-30,SAME,False,False,103744.0,False,False,103744.0,0.0
2017-09-06,SAME,False,False,110440.46,False,False,110440.46,0.0
2017-10-13,SAME,False,False,162724.62,False,False,162724.62,0.0
2017-10-18,SAME,False,False,95954.59,False,False,95954.59,0.0
2021-11-06,SAME,True,False,2370957.29,True,False,2370957.29,0.0
2021-11-23,SAME,True,False,2192901.22,True,False,2192901.22,0.0
2021-11-24,SAME,True,False,2351029.21,True,False,2351029.21,0.0
2021-11-25,SAME,True,False,2397346.23,True,False,2397346.23,0.0
2021-12-08,SAME,True,False,2346349.71,True,False,2346349.71,0.0
2021-12-16,SAME,True,False,2452085.33,True,False,2452085.33,0.0
2022-01-19,SAME,True,False,2431017.62,True,False,2431017.62,0.0
2022-01-24,SAME,True,False,2653204.74,True,False,2653204.74,0.0
2022-01-25,SAME,True,False,2632576.41,True,False,2632576.41,0.0
2022-01-27,SAME,True,False,2592813.34,True,False,2592813.34,0.0
2022-02-03,SAME,True,False,2517216.38,True,False,2517216.38,0.0
2022-02-04,SAME,True,False,2648175.57,True,False,2648175.57,0.0
2022-02-07,SAME,True,False,2574168.82,True,False,2574168.82,0.0
2022-02-08,SAME,True,False,2586864.8,True,False,2586864.8,0.0
2022-02-25,SAME,False,False,2034693.6,False,False,2034693.6,0.0
2022-03-11,SAME,True,False,2453666.18,True,False,2453666.18,0.0
2022-03-25,SAME,False,False,1961937.22,False,False,1961937.22,0.0
2022-04-05,SAME,True,False,2419086.73,True,False,2419086.73,0.0
2022-04-06,SAME,True,False,2512343.34,True,False,2512343.34,0.0
2022-04-07,SAME,True,False,2575538.28,True,False,2575538.28,0.0
2022-05-05,SAME,True,False,2736578.75,True,False,2736578.75,0.0
2022-05-12,SAME,False,False,2081747.18,False,False,2081747.18,0.0
2022-06-02,SAME,True,False,2421724.48,True,False,2421724.48,0.0
2022-06-08,SAME,True,False,2453979.59,True,False,2453979.59,0.0
2022-06-21,SAME,False,False,1842781.72,False,False,1842781.72,0.0
2022-07-01,SAME,True,False,2253139.75,True,False,2253139.75,0.0
2022-08-04,SAME,True,False,2181687.59,True,False,2181687.59,0.0
2022-08-12,SAME,True,False,2259534.55,True,False,2259534.55,0.0
2022-08-30,SAME,True,False,2361742.11,True,False,2361742.11,0.0
2022-09-01,SAME,True,False,2427895.32,True,False,2427895.32,0.0
2022-09-06,SAME,True,False,2464460.12,True,False,2464460.12,0.0
2022-09-13,SAME,True,False,,True,False,,
2022-09-29,SAME,True,False,2667573.27,True,False,2667573.27,0.0
2022-10-14,SAME,True,False,2641728.62,True,False,2641728.62,0.0
2022-10-21,SAME,True,False,2634266.85,True,False,2634266.85,0.0
2022-10-25,SAME,True,False,2624634.78,True,False,2624634.78,0.0
2022-11-02,SAME,True,False,2538986.5,True,False,2538986.5,0.0
2022-11-18,SAME,False,False,2051944.07,False,False,2051944.07,0.0
2022-12-02,SAME,True,False,2656050.94,True,False,2656050.94,0.0
2022-12-07,SAME,True,False,2631935.3,True,False,2631935.3,0.0
2022-12-12,SAME,True,False,2806174.97,True,False,2806174.97,0.0
2022-12-16,SAME,True,False,2897543.43,True,False,2897543.43,0.0
2022-12-29,SAME,True,False,2796973.76,True,False,2796973.76,0.0
2023-01-13,SAME,True,False,2836248.33,True,False,2836248.33,0.0
2023-02-02,SAME,False,False,2374450.15,False,False,2374450.15,0.0
2023-02-27,SAME,True,False,2631067.11,True,False,2631067.11,0.0
2023-03-06,SAME,True,False,2559491.94,True,False,2559491.94,0.0
2023-03-27,SAME,True,False,2624823.85,True,False,2624823.85,0.0
2023-03-31,SAME,True,False,2491791.39,True,False,2491791.39,0.0
2023-06-02,SAME,True,False,2649861.33,True,False,2649861.33,0.0
2023-06-20,SAME,False,False,2448547.92,False,False,2448547.92,0.0
2023-06-22,SAME,True,False,2505679.83,True,False,2505679.83,0.0
2024-12-26,SAME,True,False,8325889.81,True,False,8325889.81,0.0
2025-03-06,SAME,True,False,6865664.5,True,False,6865664.5,0.0
2025-05-21,SAME,True,False,7456154.64,True,False,7456154.64,0.0
2025-06-05,SAME,True,False,8121720.9,True,False,8121720.9,0.0
